2026-08-22 05:53:53,573 | INFO | __main__ | Collected 3900 records / 26600
2026-08-22 05:53:53,774 | INFO | __main__ | Fetching ChEMBL activity data: offset=3900 limit=100
2026-08-22 05:53:55,086 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:53:55,087 | INFO | __main__ | Collected 4000 records / 26600
2026-08-22 05:53:55,288 | INFO | __main__ | Fetching ChEMBL activity data: offset=4000 limit=100
2026-08-22 05:53:56,001 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:53:56,002 | INFO | __main__ | Collected 4100 records / 26600
2026-08-22 05:53:56,202 | INFO | __main__ | Fetching ChEMBL activity data: offset=4100 limit=100
2026-08-22 05:53:56,900 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:53:56,901 | INFO | __main__ | Collected 4200 records / 26600
2026-08-22 05:53:57,102 | INFO | __main__ | Fetching ChEMBL activity data: offset=4200 limit=100
2026-08-22 05:53:57,812 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:53:57,813 | INFO | __main__ | Collected 4300 records / 26600
2026-08-22 05:53:58,014 | INFO | __main__ | Fetching ChEMBL activity data: offset=4300 limit=100
2026-08-22 05:53:58,799 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:53:58,800 | INFO | __main__ | Collected 4400 records / 26600
2026-08-22 05:53:59,001 | INFO | __main__ | Fetching ChEMBL activity data: offset=4400 limit=100
2026-08-22 05:53:59,759 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:53:59,759 | INFO | __main__ | Collected 4500 records / 26600
2026-08-22 05:53:59,960 | INFO | __main__ | Fetching ChEMBL activity data: offset=4500 limit=100
2026-08-22 05:54:00,673 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:00,674 | INFO | __main__ | Collected 4600 records / 26600
2026-08-22 05:54:00,874 | INFO | __main__ | Fetching ChEMBL activity data: offset=4600 limit=100
2026-08-22 05:54:01,631 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:01,632 | INFO | __main__ | Collected 4700 records / 26600
2026-08-22 05:54:01,832 | INFO | __main__ | Fetching ChEMBL activity data: offset=4700 limit=100
2026-08-22 05:54:02,521 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:02,522 | INFO | __main__ | Collected 4800 records / 26600
2026-08-22 05:54:02,722 | INFO | __main__ | Fetching ChEMBL activity data: offset=4800 limit=100
2026-08-22 05:54:03,444 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:03,445 | INFO | __main__ | Collected 4900 records / 26600
2026-08-22 05:54:03,645 | INFO | __main__ | Fetching ChEMBL activity data: offset=4900 limit=100
2026-08-22 05:54:04,600 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:04,601 | INFO | __main__ | Collected 5000 records / 26600
2026-08-22 05:54:04,802 | INFO | __main__ | Fetching ChEMBL activity data: offset=5000 limit=100
2026-08-22 05:54:05,612 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:05,613 | INFO | __main__ | Collected 5100 records / 26600
2026-08-22 05:54:05,814 | INFO | __main__ | Fetching ChEMBL activity data: offset=5100 limit=100
2026-08-22 05:54:06,553 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:06,554 | INFO | __main__ | Collected 5200 records / 26600
2026-08-22 05:54:06,755 | INFO | __main__ | Fetching ChEMBL activity data: offset=5200 limit=100
2026-08-22 05:54:07,563 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:07,564 | INFO | __main__ | Collected 5300 records / 26600
2026-08-22 05:54:07,765 | INFO | __main__ | Fetching ChEMBL activity data: offset=5300 limit=100
2026-08-22 05:54:08,711 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:08,712 | INFO | __main__ | Collected 5400 records / 26600
2026-08-22 05:54:08,912 | INFO | __main__ | Fetching ChEMBL activity data: offset=5400 limit=100
2026-08-22 05:54:10,080 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:10,081 | INFO | __main__ | Collected 5500 records / 26600
2026-08-22 05:54:10,282 | INFO | __main__ | Fetching ChEMBL activity data: offset=5500 limit=100
2026-08-22 05:54:11,033 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:11,034 | INFO | __main__ | Collected 5600 records / 26600
2026-08-22 05:54:11,235 | INFO | __main__ | Fetching ChEMBL activity data: offset=5600 limit=100
2026-08-22 05:54:12,009 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:12,010 | INFO | __main__ | Collected 5700 records / 26600
2026-08-22 05:54:12,211 | INFO | __main__ | Fetching ChEMBL activity data: offset=5700 limit=100
2026-08-22 05:54:12,935 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:12,936 | INFO | __main__ | Collected 5800 records / 26600
2026-08-22 05:54:13,137 | INFO | __main__ | Fetching ChEMBL activity data: offset=5800 limit=100
2026-08-22 05:54:13,927 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:13,928 | INFO | __main__ | Collected 5900 records / 26600
2026-08-22 05:54:14,129 | INFO | __main__ | Fetching ChEMBL activity data: offset=5900 limit=100
2026-08-22 05:54:15,084 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:15,085 | INFO | __main__ | Collected 6000 records / 26600
2026-08-22 05:54:15,285 | INFO | __main__ | Fetching ChEMBL activity data: offset=6000 limit=100
2026-08-22 05:54:15,999 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:15,999 | INFO | __main__ | Collected 6100 records / 26600
2026-08-22 05:54:16,200 | INFO | __main__ | Fetching ChEMBL activity data: offset=6100 limit=100
2026-08-22 05:54:16,963 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:16,964 | INFO | __main__ | Collected 6200 records / 26600
2026-08-22 05:54:17,165 | INFO | __main__ | Fetching ChEMBL activity data: offset=6200 limit=100
2026-08-22 05:54:17,960 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:17,961 | INFO | __main__ | Collected 6300 records / 26600
2026-08-22 05:54:18,161 | INFO | __main__ | Fetching ChEMBL activity data: offset=6300 limit=100
2026-08-22 05:54:18,963 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:18,964 | INFO | __main__ | Collected 6400 records / 26600
2026-08-22 05:54:19,165 | INFO | __main__ | Fetching ChEMBL activity data: offset=6400 limit=100
2026-08-22 05:54:19,921 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:19,924 | INFO | __main__ | Collected 6500 records / 26600
