molecule_chembl_id,canonical_smiles,standard_value,pIC50,activity_label,activity_class
CHEMBL5875632,C=CC(=O)Nc1cccc(-c2cccc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc23)c1Cl,100.0,7.0,1,ACTIVE
CHEMBL5875860,C=CC(=O)N1CC(Oc2cc3c(Nc4cccc(C5CC5)c4)ncnc3cc2OC)C1,97.0,7.013228265733755,1,ACTIVE
CHEMBL5875973,O=C1CCc2c(Oc3ccc4c(c3)[C@H]3[C@H](NC(=O)c5ccc(C(F)(F)F)cc5)[C@H]3O4)ccnc2N1,13.0,7.886056647693163,1,ACTIVE
CHEMBL5875975,CC[C@@H]1[C@H](NC(=O)N(C)C)CCCN1c1cnc(C(N)=O)c(Nc2ccc(C3CCN(C4CCC4)CC3)cc2)n1,550.0,6.259637310505756,1,ACTIVE
CHEMBL5876051,COc1cc(N2CCC(N3CCN(C(C)=O)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NS(C)(=O)=O)n1,55.5,7.255707016877324,1,ACTIVE
CHEMBL5876064,CN(C)C/C=C/C(=O)N1CCOc2c1ccc1ncnc(Nc3ccc(OCc4ccncc4)cc3)c21,2750.0,5.560667306169737,0,INACTIVE
CHEMBL5876067,N#Cc1cnc2cc(OC[C@H](O)CO)c(NC(=O)C[C@H]3CCSS3)cc2c1Nc1ccc(OCc2cccc(F)c2)c(Cl)c1,300.0,6.522878745280337,1,ACTIVE
CHEMBL5876174,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3)ncc2C(=O)NCc2ccc(OC)cc2)c1,2000.0,5.698970004336019,0,INACTIVE
CHEMBL5876257,Cc1nc(F)ccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN([C@@H](C)CF)NN1,2.0,8.698970004336019,1,ACTIVE
CHEMBL5876462,C=CC(=O)Nc1cccc(-c2cccc3cnc(Nc4ccc(N5CCN(CC(C)(C)O)CC5)cc4)nc23)c1,100.0,7.0,1,ACTIVE
CHEMBL5876510,N#Cc1csc([C@H](Nc2cc(Cl)c3ncc(C#N)c(Nc4ccc(F)c(Cl)c4)c3c2)C2=CN(Cc3ccccn3)NN2)c1,16.0,7.795880017344075,1,ACTIVE
CHEMBL5876618,CC(C)(C)CNc1c(C#N)cnc2c(C#N)cc(N[C@H](C3=CN(C4(C(F)F)CC4)NN3)c3ccc(F)c4cnccc34)cc12,2.0,8.698970004336019,1,ACTIVE
CHEMBL5876660,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCOCCOCCOc2ccc(-c3cc4c(NCc5ccccc5Cl)ncnc4[nH]3)cc2)C(C)(C)C)cc1,2620.0,5.581698708680255,0,INACTIVE
CHEMBL5876724,COc1c(Cl)cccc1Nc1c(C#N)cnc2c(Cl)cc(N[C@@H](C3=CN(C4CC4)NN3)c3ccc(F)nc3)cc12,9.0,8.045757490560675,1,ACTIVE
CHEMBL5876875,CC(C)(C)CNc1c(C#N)cnc2c(C#N)cc(N[C@H](C3=CN(C4CC4)NN3)c3cccc4c3CNC4=O)cc12,2.0,8.698970004336019,1,ACTIVE
CHEMBL5876937,NC(=O)c1ncc(N2CCC[C@@H](NC(=O)c3ccccc3)C2)nc1Nc1ccc(C2CCN(C3CCCC3)CC2)cc1,550.0,6.259637310505756,1,ACTIVE
CHEMBL5876947,N#Cc1cnc2c(Cl)cc(N[C@H](C3=CN(C4CCN(C5COC5)CC4)NN3)c3cocn3)cc2c1Nc1ccc(Cl)c(Cl)c1F,143.0,6.844663962534938,1,ACTIVE
CHEMBL5877088,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCCOC4(CC)OCC(C)(C)CO4)cc3)ncc2F)c1,100.0,7.0,1,ACTIVE
CHEMBL5877203,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccccc3)ncc2C)c1,55.0,7.259637310505756,1,ACTIVE
CHEMBL587723,CCN1CCN(Cc2ccc(-c3cc4c(N[C@H](C)c5ccccc5)ncnc4[nH]3)cc2)CC1,2.0,8.698970004336019,1,ACTIVE
CHEMBL5877254,C=CC(=O)Nc1cc(Nc2ncc(F)c(-c3cnc4c(c3)c(Cl)cn4C)n2)c(OC)cc1N(C)CCN(C)C,2.0,8.698970004336019,1,ACTIVE
CHEMBL5877593,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H](C(C)C)N2Cc3ccccc3C2=O)c(OCCOCCOCCN2CCN(Cc3ccc(-c4cc5c(NCc6ccccc6Cl)ncnc5[nH]4)cc3)CC2)c1,4390.0,5.357535479757878,0,INACTIVE
CHEMBL5877896,C=CC(=O)Nc1cc(Nc2nc(Nc3ccc(OC(C)C)nc3)ncc2F)ccc1Cl,775.0,6.110698297493689,1,ACTIVE
CHEMBL5877898,CN(C)C/C=C/C(=O)N1CCOc2c1ccc1ncnc(Nc3ccc(Oc4ccc(Cl)cc4)cc3)c21,50.0,7.301029995663981,1,ACTIVE
CHEMBL5878054,CC(C)(C)CNc1c(C#N)cnc2c(C#N)cc(N[C@H](C3=CN(C45CC(C4)C5)NN3)c3cccc4c(=O)[nH]ccc34)cc12,2.0,8.698970004336019,1,ACTIVE
CHEMBL5878291,COc1cc2c(Nc3ccc(Cl)c(Cl)c3Cl)ncnc2cc1O[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2OC,50.0,7.301029995663981,1,ACTIVE
CHEMBL5878624,COc1cc2c(Nc3ccc(Br)c(Cl)c3Cl)ncnc2cc1OC[C@H]1C[C@@H]2CN(C)C[C@@H]2C1,50.0,7.301029995663981,1,ACTIVE
CHEMBL5878630,C=CC(=O)Nc1cccc(N(C(=O)C=C)c2nc(Nc3ccc(OC)nc3)ncc2C#N)c1,302.5,6.519274621011512,1,ACTIVE
